clip	ending0	ending1	ending2	ending3	ending4	label
video7342	a woman gives a makeup tutorial	a small black rodent is in a cage and the door opens	a small black rodent is in a cage and the door closes	there is a school bus is parked on the road side	a woman in a chef uniform is showing how to prepare crab	1
video7341	2 women sitting in chairs discussing child birth	men all sit at a table and talk to one another	memory sequence of a pig in the mine craft game	two women talking to each other on the camera	2 women sitting in chairs crying after child birth	0
video7340	a woman in black outfit dances near a stairway outside	a guy drives a honda	a man dances around in an office	a man and a women are sitting together	a guy reviews a honda	4
video8426	ocean front houses stand on white sandy beaches	a woman is mixing cheese and spinach together	a first person shooter game goes outside to look for stuff to kill	ocean front houses sitting on white sandy beaches	a man in an elevator	3
video9622	a woman is talking while opening up a package on camera	it is a clip of a drama set in a school	soldiers fortify their position in trenches in preperation for assault	a dog is standing in the street	a dog is crossing the street	4
video8900	a person is tasting a dessert	a person is preparing a dessert	a woman is standing	a family sitting around a table having a meal and wine	a gamer is playing pokemon with a charmander	1
video8901	one man talks about university of missouri at rolla founded 1870	a woman is shouting angrily	a group of men are sitting in a car inside a warehouse	a group of men are pushing a car inside a warehouse	some cartoon of a person showing crash course the person in front of laptop	3
video8902	people are dancing and singing	a man and her daughter watching gost	a person hooking up tech equipment on a desk	a man and her daughter playing gost	people practising boxing	1
video8904	a brunette woman wearing a white blouses discusses her outfits	a boy plays the guitar in front of the camera	a man talks about a woman with two sets of genitals	a brunette woman wearing a white blouses compliments her outfits	a young boy sings on a show	0
video8905	a guy driving his mountain bike ad then falling off it	a man interviews another man in a studio	a man sings another man in a studio	a house made of mud and other desert images of dry and hot conditions	a tutorial on how to replace a car filter	1
video8906	a compilation of sports highlights	a man is speaking about an unfortunate event of someone dying	a man is speaking about an unfortunate event of someone passing	a woman walking down the street singing and a baby in a cop car	guy doing backwards summer sault	2
video8907	a man has his arms crossed	a man has his arms spread out	a man wears head phone and watching something on his computer	a basketball player demonstrating that he can jump higher than the net	a multi purpose opener and the demo shown how the opener is used	0
